aX,aY,aZ,gX,gY,gZ,beat_change,beat,dynamic
-0.27,0.344,-0.586,-23.11,3.659,-24.085,None,3,f
-0.29100000000000004,0.349,-0.596,-22.866,3.415,-23.659,None,3,f
-0.297,0.35,-0.606,-22.622,2.622,-23.78,None,3,f
-0.303,0.35200000000000004,-0.609,-22.317,2.134,-23.659,None,3,f
-0.301,0.35700000000000004,-0.617,-21.951,1.463,-23.659,None,3,f
-0.289,0.364,-0.61,-21.402,0.366,-23.659,None,3,f
-0.287,0.371,-0.613,-20.854,-1.159,-23.598000000000006,None,3,f
-0.275,0.38,-0.622,-20.183,-2.012,-23.598000000000006,None,3,f
-0.262,0.388,-0.62,-19.695,-2.927,-23.72,None,3,f
-0.247,0.389,-0.633,-19.146,-4.39,-23.841,None,3,f
-0.24,0.396,-0.647,-18.841,-5.792999999999998,-23.598000000000006,None,3,f
-0.226,0.396,-0.639,-18.476,-6.768,-23.659,None,3,f
-0.211,0.398,-0.633,-18.049,-7.5,-23.78,None,3,f
-0.201,0.404,-0.636,-18.049,-7.377999999999999,-23.902,None,3,f
-0.188,0.401,-0.6409999999999999,-17.927,-7.073,-23.902,None,3,f
-0.173,0.404,-0.639,-17.561,-6.707000000000002,-23.902,None,3,f
-0.16699999999999998,0.405,-0.632,-17.378,-5.671,-23.78,None,3,f
-0.161,0.41,-0.629,-17.439,-4.329,-23.72,None,3,f
-0.154,0.415,-0.631,-16.951,-2.6830000000000003,-23.415,None,3,f
-0.147,0.417,-0.634,-16.585,-1.22,-22.988000000000003,None,3,f
-0.14800000000000002,0.4270000000000001,-0.631,-16.159000000000002,-0.5489999999999999,-22.5,None,3,f
-0.152,0.423,-0.638,-15.732,-0.061,-22.195,None,3,f
-0.14800000000000002,0.422,-0.648,-15.122,0.366,-21.951,None,3,f
-0.14800000000000002,0.42,-0.6579999999999999,-14.939,1.22,-21.585,None,3,f
-0.152,0.42,-0.6559999999999999,-14.573,2.012,-21.22,None,3,f
-0.156,0.426,-0.6609999999999999,-13.72,3.049,-20.915,None,3,f
-0.159,0.425,-0.665,-13.476,4.146,-20.61,None,3,f
-0.16699999999999998,0.421,-0.6579999999999999,-13.171,5.4270000000000005,-20.427,None,3,f
-0.177,0.428,-0.657,-12.866,6.341,-19.939,None,3,f
