aX,aY,aZ,gX,gY,gZ,beat_change,beat,dynamic
-0.194,0.004,-1.212,-22.744,2.988,48.598,None,4,f
-0.192,0.006999999999999999,-1.209,-23.537,2.927,48.11,None,4,f
-0.19,0.008,-1.2,-24.268,2.622,47.43899999999999,None,4,f
-0.188,0.015,-1.2,-24.756,2.6830000000000003,46.951,None,4,f
-0.17800000000000002,0.011,-1.187,-25.61,2.988,46.22,None,4,f
-0.182,0.01,-1.1840000000000002,-26.28,2.805,45.732,None,4,f
-0.173,0.019,-1.196,-26.585,1.951,45.549,None,4,f
-0.179,0.014,-1.185,-27.5,1.646,45.244,None,4,f
-0.17600000000000002,0.015,-1.192,-28.354,1.829,44.878,None,4,f
-0.17,0.018000000000000002,-1.182,-29.329,1.829,44.451,None,4,f
-0.177,0.019,-1.185,-30.305,2.378,44.146,None,4,f
-0.171,0.014,-1.1909999999999998,-30.732,3.5980000000000003,43.72,None,4,f
-0.162,0.018000000000000002,-1.193,-30.976,3.5980000000000003,43.659,None,4,f
-0.157,0.025,-1.19,-31.524,3.4760000000000004,43.78,None,4,f
-0.162,0.033,-1.177,-32.622,3.841,43.72,None,4,f
-0.16,0.034,-1.188,-33.354,4.268,43.841,None,4,f
-0.165,0.035,-1.1909999999999998,-33.841,4.634,44.024,None,4,f
-0.172,0.037000000000000005,-1.189,-34.329,5.305,44.146,None,4,f
-0.18,0.033,-1.192,-34.878,6.768,43.902,None,4,f
-0.182,0.037000000000000005,-1.193,-35.427,7.683,43.598,None,4,f
-0.19,0.04,-1.179,-35.854,8.537,43.659,None,4,f
-0.193,0.038,-1.171,-36.463,9.085,43.841,None,4,f
-0.2,0.042,-1.18,-36.951,9.207,43.902,None,4,f
-0.205,0.042,-1.172,-37.5,10.244000000000002,43.659,None,4,f
-0.217,0.051,-1.1740000000000002,-37.927,12.195,43.354,None,4,f
-0.21600000000000005,0.052000000000000005,-1.171,-38.537,12.5,43.232,None,4,f
-0.22,0.044,-1.163,-39.024,11.829,43.354,None,4,f
-0.228,0.038,-1.15,-39.695,11.341,43.17100000000001,None,4,f
-0.232,0.04,-1.15,-40.366,11.646,42.805,None,4,f
-0.235,0.042,-1.158,-40.976000000000006,11.524,42.56100000000001,None,4,f
-0.238,0.042,-1.15,-41.646,11.341,42.195,None,4,f
-0.237,0.043,-1.143,-42.073,10.305,41.951,None,4,f
-0.236,0.045,-1.136,-42.378,8.78,41.951,None,4,f
-0.237,0.045,-1.131,-42.56100000000001,7.927,41.402,None,4,f
-0.234,0.049,-1.124,-42.86600000000001,7.622000000000001,40.915,None,4,f
-0.231,0.045,-1.12,-43.11,7.134,40.61,None,4,f
-0.234,0.044,-1.118,-43.537,6.585,40.305,None,4,f
-0.229,0.05,-1.116,-44.085,6.28,39.878,None,4,f
-0.212,0.045,-1.116,-43.537,5.854,39.39,None,4,f
-0.205,0.049,-1.13,-43.354,4.817,39.329,None,4,f
-0.206,0.045,-1.105,-43.72,4.4510000000000005,39.329,None,4,f
-0.199,0.046,-1.107,-43.78,4.329,38.902,None,4,f
-0.188,0.05,-1.101,-43.841,3.659,38.598,None,4,f
-0.18600000000000005,0.052000000000000005,-1.091,-43.659,3.354,38.354,None,4,f
-0.183,0.06,-1.095,-43.17100000000001,2.866,38.11,None,4,f
-0.17800000000000002,0.063,-1.0759999999999998,-42.622,2.5610000000000004,37.866,None,4,f
-0.182,0.068,-1.071,-41.951,2.256,37.5,None,4,f
-0.182,0.07200000000000001,-1.054,-41.89,2.378,37.256,None,4,f
-0.177,0.07,-1.045,-41.646,2.805,36.768,None,4,f
-0.182,0.075,-1.045,-41.646,3.4760000000000004,36.28,None,4,f
-0.177,0.075,-1.033,-41.646,3.659,36.098,None,4,f
-0.177,0.075,-1.019,-41.341,3.537,35.793,None,4,f
-0.17600000000000002,0.08,-1.007,-40.915,3.415,35.366,None,4,f
-0.17800000000000002,0.078,-0.994,-40.671,3.659,35.122,None,4,f
-0.172,0.081,-0.989,-40.488,4.207,34.756,None,4,f
-0.171,0.081,-0.974,-40.244,4.329,34.329,None,4,f
-0.17,0.085,-0.965,-40.0,4.634,34.207,None,4,f
-0.171,0.094,-0.965,-39.878,5.122000000000001,33.963,None,4,f
-0.173,0.097,-0.959,-39.695,5.183,33.78,None,4,f
-0.16899999999999998,0.105,-0.954,-39.024,4.939,33.415,None,4,f
-0.165,0.105,-0.953,-38.598,4.695,33.171,None,4,f
-0.166,0.103,-0.946,-38.476,4.207,33.049,None,4,f
-0.168,0.098,-0.943,-37.988,4.146,32.744,None,4,f
-0.168,0.104,-0.938,-37.683,4.756,32.378,None,4,f
-0.16899999999999998,0.103,-0.933,-37.561,5.244,32.134,None,4,f
-0.166,0.109,-0.932,-37.378,5.792999999999998,31.768,None,4,f
-0.171,0.117,-0.93,-37.073,5.792999999999998,31.585,None,4,f
-0.17800000000000002,0.114,-0.923,-36.707,6.037000000000001,31.463,None,4,f
-0.179,0.113,-0.913,-36.402,6.159,31.159,None,4,f
-0.184,0.111,-0.917,-36.341,6.585,31.037,None,4,f
-0.183,0.111,-0.911,-35.915,7.073,30.854,None,4,f
-0.181,0.114,-0.905,-35.793,7.561,30.488000000000003,None,4,f
-0.17800000000000002,0.121,-0.907,-35.793,7.927,30.122,None,4,f
-0.17800000000000002,0.122,-0.91,-35.549,8.232000000000001,29.817,None,4,f
-0.175,0.124,-0.909,-35.183,8.232000000000001,29.39,None,4,f
-0.17800000000000002,0.13,-0.9,-34.817,8.049,28.963,None,4,f
