aX,aY,aZ,gX,gY,gZ,beat_change,beat
0.16899999999999998,-0.642,0.335,29.114,-215.088,-81.055,None,3
0.131,-0.6779999999999999,0.18600000000000005,26.062,-211.853,-81.78699999999998,None,3
0.078,-0.634,0.057,22.949,-207.336,-84.412,None,3
0.047,-0.598,-0.021,18.311,-200.745,-86.12100000000002,None,3
-0.022,-0.545,-0.098,8.789,-194.092,-86.243,None,3
-0.099,-0.511,-0.163,5.127000000000002,-186.951,-85.999,None,3
-0.127,-0.494,-0.172,2.258,-177.612,-84.10600000000002,None,3
-0.183,-0.462,-0.231,0.61,-169.922,-82.947,None,3
-0.223,-0.392,-0.301,-0.5489999999999999,-163.14700000000005,-82.031,None,3
-0.297,-0.328,-0.394,-2.93,-155.701,-80.26100000000002,None,3
-0.376,-0.24,-0.464,-6.042000000000002,-147.461,-77.942,None,3
-0.431,-0.174,-0.506,-7.69,-138.062,-74.34100000000002,None,3
-0.478,-0.124,-0.535,-9.399,-128.418,-69.336,None,3
-0.551,-0.056,-0.5870000000000001,-9.155,-118.835,-64.27,None,3
-0.609,0.012,-0.601,-10.803,-108.948,-58.655,None,3
-0.6509999999999999,0.052000000000000005,-0.58,-13.733,-98.083,-51.331,None,3
-0.691,0.084,-0.535,-14.16,-87.524,-43.823,None,3
-0.7240000000000001,0.116,-0.469,-11.23,-77.454,-36.499,None,3
-0.735,0.121,-0.388,-7.5070000000000014,-68.237,-28.992,None,3
-0.7490000000000001,0.103,-0.334,-5.859,-61.279,-21.729,None,3
-0.758,0.073,-0.294,-5.249,-55.847,-14.832,None,3
-0.765,0.021,-0.289,-4.578,-50.72,-8.85,None,3
-0.76,-0.023,-0.28300000000000003,-3.723,-45.715,-4.0280000000000005,None,3
-0.769,-0.08800000000000001,-0.315,-2.197,-41.199,0.366,None,3
-0.782,-0.156,-0.345,-1.404,-36.621,3.784,None,3
-0.795,-0.237,-0.35700000000000004,-0.732,-30.762,5.92,None,3
-0.7879999999999999,-0.331,-0.326,2.747,-24.109,7.385,None,3
-0.787,-0.412,-0.273,9.155,-17.151,7.568,None,3
-0.769,-0.478,-0.19,16.418,-10.925,6.226,None,3
-0.7559999999999999,-0.542,-0.128,20.813,-6.5920000000000005,5.005,None,3
