aX,aY,aZ,gX,gY,gZ,label
-0.238,-0.038,-0.114,34.302,-21.667,14.099,None
-0.25,-0.042,-0.077,33.751999999999995,-14.832,15.747,None
-0.247,-0.056,-0.006,34.424,-4.15,18.982,None
-0.251,-0.051,0.029,29.236,4.15,21.179,None
-0.23,-0.038,0.114,25.146,6.836,22.095,None
-0.243,-0.056,0.116,14.038,8.423,23.621,None
-0.228,-0.023,0.151,6.165,9.583,24.78,None
-0.227,-0.002,0.135,-15.93,14.343,25.94,None
-0.194,0.122,0.055,-25.635,18.433,26.917,None
-0.19,0.2,-0.027000000000000003,-41.077,31.677,31.738000000000003,None
-0.157,0.382,-0.014,-42.297,39.734,35.645,None
-0.111,0.536,0.03,-35.889,55.969,46.875,None
-0.08,0.575,0.075,-29.358,64.331,54.26,None
0.002,0.574,0.237,-22.461,80.078,71.777,3beats_2
0.051,0.528,0.341,-21.545,86.609,81.17699999999998,None
0.159,0.37,0.561,-22.583,95.032,99.67,None
0.218,0.254,0.652,-20.386,97.351,108.276,None
0.309,-0.059,0.937,-14.526,102.112,122.803,None
0.358,-0.258,1.08,-11.108,102.966,128.05200000000002,None
0.387,-0.716,1.314,-10.742,100.403,133.30100000000002,None
0.403,-0.865,1.546,-14.343,95.825,129.761,None
0.377,-1.235,1.5619999999999998,-28.564,80.139,123.84,None
0.34600000000000003,-1.415,1.33,-47.119,69.39699999999999,108.337,None
0.307,-1.646,1.12,-57.983,66.528,97.107,None
0.28800000000000003,-1.296,1.035,-74.829,64.27,77.02600000000002,None
0.275,-0.998,1.238,-80.872,61.462,71.22800000000002,None
0.292,-0.8109999999999999,2.076,-54.13800000000001,45.654,64.514,None
0.287,-0.908,2.197,-30.884,34.851,61.951,None
0.33,-1.091,2.381,-8.057,17.639,56.885,None
0.328,-1.116,2.393,1.3430000000000002,-10.254,46.387,None
0.313,-1.194,2.219,9.155,-18.738,40.344,None
0.321,-1.144,1.834,1.709,-35.583,31.494,None
0.284,-1.085,1.611,-2.136,-40.649,27.588,None
0.199,-1.105,1.194,5.188,-44.18899999999999,20.142,None
0.196,-1.141,1.037,9.888,-41.13800000000001,15.747,None
0.16399999999999998,-1.125,0.72,15.686,-33.386,4.822,None
0.16899999999999998,-1.124,0.613,18.066,-28.748,-0.488,None
0.162,-1.109,0.507,22.583,-17.517,-11.047,None
0.151,-1.094,0.5,22.949,-6.409,-22.644,None
0.168,-1.037,0.52,18.677,-1.587,-28.015,None
0.187,-0.919,0.583,6.5920000000000005,4.761,-37.72,None
0.185,-0.856,0.611,1.3430000000000002,6.226,-41.87,None
0.184,-0.785,0.628,-2.93,7.141,-48.218,None
0.18,-0.745,0.608,-5.127000000000002,7.141,-51.27,None
0.17,-0.652,0.5760000000000001,-9.521,7.629,-56.03,None
0.182,-0.612,0.542,-11.78,7.935,-57.861,None
0.18,-0.49,0.439,-20.081,9.155,-60.913,None
0.183,-0.4370000000000001,0.308,-18.555,12.329,-61.951,None
0.196,-0.398,0.257,-16.602,15.015,-61.89,None
