aX,aY,aZ,gX,gY,gZ,,,,
-0.729,0.287,-0.76,94.788,-14.16,-35.522,,,,
-0.743,0.317,-0.798,93.384,-10.925,-37.354,,,,
-0.741,0.364,-0.799,90.82,-6.775,-38.086,,,,
-0.746,0.423,-0.761,87.646,-2.014,-38.208,,,,
-0.736,0.465,-0.693,88.684,2.563,-37.598,,,,
-0.722,0.497,-0.607,92.59,6.775,-36.621,,,,
-0.714,0.526,-0.477,93.323,10.742,-35.034,,,,
-0.689,0.52,-0.328,95.764,13.55,-33.081,,,,
-0.67,0.513,-0.179,96.069,13.977,-31.372,,,,
-0.656,0.504,0.003,93.201,12.939,-29.968,,,,
-0.589,0.468,0.25,90.881,10.437,-28.564,,,,
-0.538,0.452,0.532,98.45,5.859,-28.809,,,,
-0.529,0.452,0.752,112,-2.808,-30.823,,,,
-0.542,0.42,1.042,121.765,-12.573,-31.982,,,,
-0.519,0.349,1.202,114.807,-28.137,-33.691,,,,
-0.512,0.445,1.269,99.06,-50.354,-37.659,,,,
-0.54,0.524,1.16,94.604,-75.562,-41.748,,,,
-0.545,0.558,0.886,97.839,-100.464,-44.373,,,,
-0.157,0.687,2.043,99.854,-28.809,-31.86,,,,
-0.944,0.865,-0.444,-42.48,-68.848,-27.405,,,,
-0.733,0.949,0.349,-32.227,28.381,-14.099,,,,
-1.293,1.097,-1.438,31.982,-20.081,-11.536,,,,
-0.769,0.428,0.188,-26.367,2.441,-0.305,,,,
-1.038,0.832,-0.838,-20.325,-15.076,-1.526,,,,
-0.815,0.45,-0.315,-4.456,-4.517,0.244,,,,
-0.936,0.727,-0.628,15.564,-7.019,-1.831,,,,
-0.793,0.486,-0.352,38.269,-5.432,0.549,,,,
-0.872,0.571,-0.545,43.762,-6.531,-1.465,,,,
-0.764,0.52,-0.357,44.861,-7.935,0,,,,
-0.795,0.557,-0.405,36.865,-8.484,0.549,,,,
-0.738,0.573,-0.256,27.771,-10.742,1.526,,,,
-0.754,0.569,-0.356,18.25,-11.597,2.808,,,,
-0.715,0.539,-0.467,12.207,-13.367,3.662,,,,
-0.728,0.516,-0.654,4.822,-12.39,4.456,,,,
-0.706,0.476,-0.77,2.869,-10.254,4.578,,,,
-0.704,0.428,-0.858,1.587,-4.639,4.395,,,,
-0.676,0.388,-0.821,-0.366,0.977,3.418,,,,
-0.688,0.434,-0.741,-3.418,7.69,3.479,,,,
-0.682,0.488,-0.634,-7.446,13,2.136,,,,
-0.691,0.488,-0.532,-4.578,18.555,1.587,,,,
-0.711,0.535,-0.454,0.366,21.912,1.099,,,,
-0.714,0.518,-0.443,7.141,24.597,1.465,,,,
-0.727,0.529,-0.44,10.925,25.208,1.16,,,,
-0.736,0.531,-0.39,16.174,26.001,1.099,,,,
-0.748,0.553,-0.359,18.127,24.902,0.916,,,,
-0.767,0.578,-0.323,17.7,23.376,1.221,,,,
-0.786,0.603,-0.315,14.343,21.118,1.343,,,,
-0.788,0.597,-0.311,10.193,19.47,2.319,,,,
-0.784,0.593,-0.333,5.615,18.005,2.93,,,,
-0.772,0.598,-0.336,1.343,16.907,3.54,,,,
-0.776,0.61,-0.333,-0.61,16.235,3.967,,,,
-0.778,0.598,-0.342,0.061,16.113,4.944,,,,
-0.755,0.605,-0.332,2.808,14.954,5.92,,,,
-0.767,0.648,-0.266,-1.77,13.489,7.08,,,,
-0.776,0.67,-0.267,-4.7,11.23,7.324,,,,
-0.767,0.661,-0.312,0.671,11.475,9.521,,,,
-0.756,0.658,-0.388,2.991,10.803,10.986,,,,
-0.768,0.67,-0.416,1.953,12.146,12.817,,,,
-0.763,0.667,-0.459,0.183,13,14.587,,,,
-0.766,0.66,-0.487,0,14.587,16.602,,,,
-0.766,0.65,-0.51,-1.038,15.93,18.372,,,,
-0.771,0.626,-0.504,-2.93,17.944,20.325,,,,
-0.761,0.568,-0.498,-5.737,20.447,21.973,,,,
-0.754,0.543,-0.454,-10.498,22.766,23.254,,,,
-0.754,0.526,-0.397,-13.977,24.902,23.682,,,,
-0.753,0.507,-0.33,-15.198,26.672,24.414,,,,
-0.749,0.471,-0.273,-14.343,27.71,25.085,,,,
-0.729,0.429,-0.217,-13.977,27.954,25.452,,,,
-0.709,0.393,-0.144,-14.282,27.771,25.33,,,,
-0.698,0.375,-0.066,-13.794,26.917,24.475,,,,
-0.707,0.357,0.004,-11.902,24.902,23.437,,,,
-0.713,0.323,0.073,-10.193,21.912,22.461,,,,
-0.697,0.263,0.139,-8.118,18.25,21.423,,,,
-0.689,0.21,0.209,-6.714,13.794,19.592,,,,
-0.689,0.167,0.264,-3.052,8.484,16.724,,,,
-0.697,0.135,0.308,1.465,2.075,13.062,,,,
-0.694,0.087,0.356,4.944,-4.517,9.827,,,,
-0.669,0.022,0.398,6.836,-11.292,5.859,,,,
-0.635,-0.029,0.453,5.92,-18.738,0.916,,,,
-0.625,-0.068,0.538,2.808,-26.794,-4.7,,,,
-0.614,-0.119,0.649,-0.488,-35.645,-10.071,,,,
-0.572,-0.178,0.779,-2.625,-45.532,-16.479,,,,
-0.546,-0.204,0.922,-7.446,-57.251,-23.926,,,,
-0.509,-0.206,0.993,-11.658,-72.754,-32.227,,,,
-0.457,-0.148,0.911,-8.911,-91.919,-41.565,,,,
-0.422,-0.038,0.732,2.563,-111.206,-51.697,,,,
-0.433,0.088,0.477,13.611,-129.456,-60.852,,,,
0.678,2.864,-4,-13.367,-158.02,-69.519,,,,
-1.397,2.961,-3.866,-326.355,-109.375,-46.082,,,,
-0.049,-0.792,1.531,37.903,81.482,18.127,,,,
-0.956,0.955,0.483,-66.711,3.784,-18.982,,,,
-0.784,0.704,-0.297,-9.583,-17.822,-5.676,,,,
-1.208,0.573,-0.982,-5.981,3.662,-1.892,,,,
-0.717,0.786,-0.035,-25.818,-1.465,3.723,,,,
-0.861,0.642,-0.455,4.639,-8.667,3.235,,,,
-0.805,0.583,-0.436,8.911,-3.357,4.944,,,,
-0.866,0.551,-0.612,20.752,-8.972,5.066,,,,
-0.806,0.523,-0.527,22.217,-7.507,6.531,,,,
-0.81,0.496,-0.63,16.235,-8.911,6.958,,,,
-0.747,0.468,-0.657,6.775,-7.019,7.446,,,,
-0.753,0.491,-0.799,-7.751,-6.348,7.507,,,,
-0.713,0.48,-0.8,-16.357,-2.747,7.69,,,,
-0.704,0.459,-0.802,-21.973,1.709,7.629,,,,
-0.707,0.529,-0.713,-28.87,6.348,8.301,,,,
-0.703,0.553,-0.695,-31.006,10.62,9.094,,,,
-0.706,0.576,-0.621,-35.034,14.282,10.193,,,,
-0.717,0.583,-0.594,-35.217,17.029,11.536,,,,
-0.72,0.561,-0.563,-34.241,20.081,13.123,,,,
-0.735,0.549,-0.566,-32.104,22.644,14.221,,,,
-0.741,0.513,-0.586,-27.344,24.902,15.32,,,,
-0.755,0.476,-0.602,-24.536,26.611,16.296,,,,
-0.758,0.461,-0.581,-25.085,27.954,16.846,,,,
-0.761,0.47,-0.544,-29.785,28.076,17.456,,,,
-0.764,0.472,-0.492,-33.447,28.564,17.761,,,,
