aX,aY,aZ,gX,gY,gZ,
-0.924,0.196,0.016,-178.711,37.598,-33.508,
-0.942,0.195,0.027,-164.673,38.879,-30.579,
-0.932,0.172,0.034,-148.315,40.588,-27.832,
-0.919,0.138,0.038,-145.325,41.443,-24.902,
-0.913,0.131,0.058,-157.471,40.833,-22.827,
-0.943,0.143,0.048,-173.035,39.612,-21.484,
-0.956,0.155,0.018,-187.5,38.818,-19.958,
-0.935,0.177,0.04,-200.439,39.124,-17.639,
-0.93,0.162,-0.018,-198.608,40.833,-16.052,
-0.949,0.083,-0.07,-223.206,41.199,-13.306,
-0.964,0.117,0.006,-283.264,41.565,-11.169,
-0.94,0.135,0.037,-312.622,42.725,-11.902,
-0.92,0.175,0.048,-316.711,43.213,-13.428,
-0.711,0.079,0.016,-329.346,43.762,-14.282,
-1.041,0.124,0.006,-394.897,37.964,-15.625,
-1.087,0.179,0.022,-413.94,38.391,-20.081,
-0.964,0.184,0.022,-401.55,41.077,-22.522,
-0.884,0.223,0.056,-366.028,45.593,-27.283,
-0.891,0.181,0.018,-313.782,49.683,-30.701,
-0.902,0.108,-0.019,-293.457,51.758,-34.058,
-0.91,0.169,0.006,-300.476,52.429,-38.513,
-0.879,0.171,0.025,-279.297,55.481,-42.847,
-0.845,0.168,0.047,-245.239,59.326,-47.485,
-0.805,0.157,0.065,-214.294,63.11,-51.758,
-0.76,0.15,0.106,-187.195,66.65,-56.274,
-0.738,0.125,0.115,-157.776,70.496,-60.791,
-0.699,0.106,0.094,-134.644,73.242,-65.674,
-0.714,0.185,0.111,-117.31,76.538,-71.35,
-0.753,0.316,0.227,-113.953,79.529,-75.745,
-0.722,0.45,0.336,-108.459,80.078,-77.209,
-0.732,0.594,0.397,-90.21,78.369,-76.599,
-0.747,0.688,0.436,-60.181,76.904,-73.364,
-0.685,0.63,0.518,-37.354,75.928,-66.956,
-0.677,0.601,0.564,-44.006,70.923,-61.462,
-0.704,0.551,0.575,-52.124,64.087,-58.289,
-0.714,0.593,0.56,-56.702,57.922,-57.8,
-0.737,0.675,0.555,-61.523,52.49,-57.373,
-0.76,0.774,0.551,-66.406,47.729,-55.359,
-0.784,0.856,0.548,-64.514,43.884,-52.063,
-0.792,0.897,0.561,-56.885,41.138,-47.119,
-0.797,0.886,0.57,-46.265,38.635,-41.687,
-0.807,0.844,0.56,-36.743,35.4,-36.438,
-0.801,0.79,0.56,-30.273,32.349,-31.677,
-0.803,0.78,0.567,-27.832,29.053,-28.748,
-0.808,0.808,0.57,-24.475,25.757,-26.062,
-0.81,0.839,0.578,-16.418,22.949,-22.949,
-0.81,0.853,0.58,-5.432,20.569,-19.226,
-0.818,0.867,0.581,5.066,17.944,-15.198,
-0.821,0.869,0.582,14.893,15.747,-11.23,
-0.817,0.84,0.561,23.376,13.184,-6.836,
-0.798,0.805,0.542,28.748,10.254,-3.174,
-0.797,0.774,0.535,29.968,7.629,0.854,
-0.795,0.741,0.496,30.334,4.944,3.662,
-0.797,0.707,0.459,29.602,2.686,6.531,
-0.804,0.693,0.446,24.353,1.282,8.789,
-0.793,0.677,0.426,17.822,-0.061,10.925,
-0.801,0.678,0.397,13.489,-1.16,12.817,
-0.787,0.671,0.401,12.939,-0.977,14.893,
-0.777,0.654,0.406,15.137,-0.549,16.846,
-0.663,0.599,0.392,16.235,-0.549,18.86,
-0.831,0.57,0.441,3.54,-1.709,20.874,
-0.824,0.542,0.314,6.714,-4.15,21.79,
-0.779,0.507,0.313,20.996,-2.258,21.24,
-0.798,0.467,0.355,23.376,0.977,21.729,
-0.782,0.438,0.346,29.846,2.197,21.057,
-0.785,0.426,0.354,33.203,3.296,20.325,
-0.778,0.424,0.374,33.569,4.333,19.165,
-0.763,0.412,0.379,33.997,5.005,18.677,
-0.743,0.398,0.381,33.569,5.371,18.555,
-0.744,0.381,0.373,30.701,5.31,18.311,
-0.74,0.367,0.361,29.053,5.493,18.066,
-0.738,0.354,0.358,31.372,6.592,18.005,
-0.732,0.362,0.361,36.194,8.179,17.395,
-0.726,0.373,0.375,40.1,9.888,16.968,
-0.726,0.385,0.4,41.321,11.23,16.846,
-0.713,0.396,0.43,40.466,11.841,17.029,
-0.704,0.366,0.463,40.527,12.085,18.25,
-0.716,0.322,0.497,41.809,12.085,19.287,
-0.707,0.279,0.525,45.471,12.085,19.409,
-0.709,0.246,0.535,49.927,11.475,18.799,
-0.704,0.223,0.534,51.086,10.254,17.883,
-0.695,0.242,0.525,49.683,9.033,16.541,
-0.693,0.246,0.514,46.753,7.935,15.808,
-0.671,0.244,0.469,34.241,6.287,15.747,
-0.758,0.325,0.373,15.564,2.747,15.015,
-0.732,0.262,0.448,27.039,7.874,17.334,
-0.737,0.219,0.379,34.058,8.118,17.822,
-0.737,0.162,0.378,35.95,10.01,18.005,
-0.738,0.143,0.365,36.316,11.414,16.418,
-0.739,0.124,0.372,36.804,13.184,15.259,
-0.739,0.12,0.401,37.354,15.32,13.306,
-0.745,0.12,0.446,36.682,17.273,11.902,
-0.754,0.121,0.477,34.424,18.25,10.254,
-0.759,0.146,0.495,30.334,18.188,8.484,
-0.757,0.153,0.512,26.55,17.639,7.202,
-0.762,0.17,0.549,23.865,17.761,5.92,
