aX,aY,aZ,gX,gY,gZ
-0.227,-0.322,-0.396,40.344,-44.067,-25.635
-0.263,-0.361,-0.443,42.419,-31.616,-25.391
-0.299,-0.418,-0.5,44.861,-18.433,-25.757
-0.315,-0.491,-0.543,47.302,-4.395,-26.672
-0.309,-0.546,-0.569,48.096,10.254,-28.809
-0.291,-0.625,-0.571,47.729,26.245,-30.884
-0.26,-0.698,-0.554,47.302,42.542,-34.241
-0.215,-0.755,-0.514,44.922,59.692,-38.513
-0.153,-0.785,-0.443,39.612,76.843,-43.823
-0.095,-0.804,-0.361,32.654,92.957,-49.255
-0.059,-0.831,-0.256,25.085,108.215,-54.749
0.002,-0.909,-0.09,16.907,122.803,-60.12
0.054,-0.963,0.03,11.658,134.766,-67.017
0.101,-1.033,0.167,4.456,145.63,-74.707
0.179,-1.083,0.312,-4.395,155.151,-83.252
