aX,aY,aZ,gX,gY,gZ
-0.702,0.747,0.227,44.189,-16.846,-4.211
-0.717,0.697,0.177,45.410,-24.841,-1.526
-0.715,0.639,0.132,37.964,-30.884,0.793
-0.714,0.596,0.053,32.654,-37.537,2.380
-0.681,0.529,-0.019,31.494,-40.405,3.540
-0.701,0.484,-0.109,31.860,-42.786,3.113
-0.701,0.475,-0.188,28.503,-43.579,2.319
-0.692,0.464,-0.246,27.405,-42.786,1.282
-0.708,0.470,-0.293,26.367,-40.527,0.122
-0.728,0.472,-0.301,26.062,-37.659,-1.038
-0.739,0.497,-0.300,28.137,-34.180,-2.563
-0.753,0.498,-0.267,28.625,-31.189,-3.906
-0.769,0.544,-0.231,24.353,-29.419,-5.249
-0.796,0.587,-0.186,19.348,-28.748,-5.920
-0.793,0.669,-0.162,15.320,-29.419,-6.348
-0.807,0.731,-0.122,7.202,-31.067,-5.859
-0.831,0.762,-0.111,5.798,-33.569,-4.578
-0.821,0.755,-0.115,6.897,-37.659,-2.136
-0.799,0.727,-0.108,4.333,-41.321,0.305
-0.777,0.698,-0.103,-1.831,-44.983,2.563
-0.777,0.633,-0.096,-12.329,-47.974,4.883
-0.789,0.578,-0.104,-19.897,-51.819,6.348
-0.767,0.507,-0.116,-21.240,-54.443,7.324
-0.749,0.448,-0.142,-20.752,-57.068,7.263
-0.760,0.406,-0.153,-23.010,-59.570,6.104
-0.765,0.365,-0.171,-20.874,-61.951,3.662
-0.765,0.300,-0.180,-20.142,-63.965,0.854
-0.791,0.341,-0.165,-27.039,-65.735,-2.441
-0.753,0.319,-0.149,-15.076,-66.711,-6.104
-0.709,0.361,-0.141,-4.944,-69.031,-9.644
-0.639,0.382,-0.144,3.845,-71.228,-12.939
-0.595,0.406,-0.178,11.047,-74.463,-16.296
-0.596,0.428,-0.238,13.733,-77.393,-19.165
-0.631,0.474,-0.309,12.024,-80.017,-21.057
-0.615,0.497,-0.357,11.780,-80.383,-22.400
-0.622,0.509,-0.427,12.573,-80.078,-23.437
-0.616,0.534,-0.475,13.000,-78.369,-24.109
-0.621,0.590,-0.517,18.005,-75.806,-24.658
-0.657,0.621,-0.550,28.381,-71.533,-24.719
-0.667,0.669,-0.525,34.973,-66.284,-25.024
-0.619,0.736,-0.447,49.744,-61.340,-25.574
-0.570,0.834,-0.344,60.913,-59.021,-26.245
-0.599,0.900,-0.315,74.646,-59.814,-27.161
-0.642,0.930,-0.311,81.482,-61.829,-27.527
-0.589,0.916,-0.315,59.387,-65.796,-25.940
-0.556,0.918,-0.305,31.616,-70.801,-23.315
-0.564,0.860,-0.299,11.963,-73.792,-20.386
-0.627,0.795,-0.362,-8.972,-76.843,-18.311
-0.652,0.831,-0.349,-47.668,-79.224,-16.724
-0.608,0.863,-0.351,-57.312,-78.735,-14.526
-0.537,0.982,-0.426,-41.992,-76.721,-12.085
-0.554,1.159,-0.592,-19.043,-75.867,-9.583
-0.543,1.297,-0.729,3.540,-71.655,-4.822
-0.495,1.434,-0.771,6.958,-67.261,1.953
-0.528,1.386,-0.840,-1.831,-62.744,12.756
-0.438,1.523,-0.818,-19.226,-53.467,27.039
-0.331,1.502,-0.607,-18.005,-41.748,47.180
-0.396,1.254,-0.725,22.217,-37.659,66.162
-0.404,1.009,-0.646,39.978,-30.945,77.026
-0.350,0.813,-0.637,20.874,-31.616,82.764
-0.383,0.583,-0.662,18.433,-31.433,84.778
-0.454,0.326,-0.706,27.771,-28.931,80.933
-0.496,0.091,-0.754,48.645,-22.949,72.144
-0.507,-0.142,-0.765,65.796,-15.686,58.777
-0.503,-0.276,-0.754,71.960,-9.460,40.955
-0.403,-0.336,-0.787,67.688,-4.211,20.874
-0.519,-0.265,-0.790,20.874,-0.732,1.892
-0.507,-0.011,-0.599,-41.443,3.967,-13.123
-0.479,0.198,-0.741,-38.757,5.188,-26.550
-0.540,0.398,-0.820,-37.415,5.554,-35.095
-0.570,0.635,-0.898,-26.001,11.108,-40.588
-0.594,0.867,-0.834,-13.245,18.860,-41.626
-0.647,1.038,-0.672,2.380,28.381,-38.818
-0.773,1.078,-0.499,36.072,36.438,-32.349
-0.718,1.059,-0.321,80.994,42.236,-24.048
-0.639,0.995,-0.137,117.126,44.189,-16.113
-0.628,0.911,0.033,150.818,44.006,-9.583
-0.596,0.780,0.148,176.636,39.307,-5.249
-0.526,0.628,0.269,178.833,32.471,-3.052
-0.515,0.524,0.336,154.602,21.118,-3.357
-0.514,0.446,0.338,129.639,8.179,-5.981
