aX,aY,aZ,gX,gY,gZ
0.935,0.333,-0.101,0.915,-0.305,-2.012
0.93,0.333,-0.099,1.098,-0.366,-1.768
0.926,0.335,-0.1,1.159,-0.305,-1.89
0.92,0.337,-0.097,1.341,-0.366,-1.829
0.92,0.332,-0.099,1.402,-0.793,-1.768
0.921,0.339,-0.101,1.402,-0.976,-1.829
0.918,0.336,-0.101,1.524,-0.915,-1.89
0.914,0.339,-0.095,1.829,-1.159,-1.89
0.913,0.338,-0.096,1.707,-1.524,-2.073
0.913,0.331,-0.099,1.768,-1.646,-2.195
0.91,0.339,-0.093,1.585,-1.646,-2.256
0.914,0.333,-0.089,1.524,-1.951,-2.256
